	x	y
SAAM-1929.6.144_1	0.837028	0.104632735
SAAM-1967.136.6_1	0.8887067	0.68516624
SAAM-1958.5.3_1	0.95835865	0.6191939
SAAM-1984.50_2	0.70636725	0.5381254
SAAM-1973.150_1	0.49375033	0.88768566
SAAM-1985.66.385_1	0.7674717	0.7078444
SAAM-1909.7.51_1	0.7558603	0.028548837
SAAM-1983.95.91_1	0.7790116	0.22779548
SAAM-1972.2.12_1	0.6370673	0.66569436
SAAM-1978.68_1	0.51838017	0.43126738
SAAM-1983.95.144_1	0.8464484	0.21859753
SAAM-1974.69.14_1	0.22166145	0.44338143
SAAM-1962.13.46_1	0.16856313	0.6850244
SAAM-1962.4.17_1	0.727162	0.49684155
SAAM-1983.95.138_2	0.3226292	0.13074803
SAAM-1983.95.135_1	0.90774786	0.41096628
SAAM-1910.9.15_1	0.6498034	0.23513472
SAAM-1991.56.198_1	0.5127944	0.6731068
SAAM-1909.7.25_1	0.78545666	0.18278253
SAAM-1962.13.63_1	0.20909369	0.58332
SAAM-1956.11.38_1	0.6133809	0.07216799
SAAM-1983.95.128_2	0.889282	0.40914023
SAAM-1950.2.26A_1	0.3870932	0.9938363
SAAM-2000.50_1	0.28984606	0.15469718
SAAM-1982.1.32_1	0.8406172	0.36163318
SAAM-1909.9.9_1	0.15457535	0.72360766
SAAM-1962.13.40_1	0.17406142	0.39079082
SAAM-1962.4.20_1	0.72888124	0.27872813
SAAM-1970.287_1	0.6752924	0.09252739
SAAM-1973.153_2	0.27299488	0.5194949
SAAM-1991.56.200_1	0.782984	0.63107
SAAM-1952.13.3_1	0.63026404	0.79772484
SAAM-1991.56.50_1	0.561013	0.79998696
SAAM-1962.13.35_1	0.16611624	0.78845704
SAAM-1966.72_1	0.57145214	0.6935369
SAAM-1985.66.326796_1	0.20023406	0.6926669
SAAM-1983.83.268_1	0.8494245	0.53048193
SAAM-1966.34.4_1	0.78346586	0.5857452
SAAM-1910.9.4_1	0.7964473	0.64188206
SAAM-1981.112_1	0.860235	0.3291701
SAAM-1989.43.7_2	0.51675653	0.19846356
SAAM-1962.13.48_1	0.15106213	0.7407459
SAAM-1929.6.77_1	0.75451016	0.025225759
SAAM-1916.6.42_1	0.53201604	0.40554464
SAAM-1963.11.5_1	0.6872251	0.21954286
SAAM-1991.56.174_1	0.8725172	0.7247685
SAAM-1930.12.38_1	0.6805526	0.79251945
SAAM-1952.13.160_1	0.68417096	0.7489277
SAAM-1985.66.407_1	0.2641971	0.10980809
SAAM-1909.7.30_1	0.2840228	0.18288958
SAAM-1983.95.67_1	0.73603046	0.087834
SAAM-1985.45_1	0.87324095	0.32733548
SAAM-1965.11.1_1	0.40375423	0.4352442
SAAM-1962.13.18_1	0.14735103	0.7214078
SAAM-1953.11.3_1	0.97120106	0.55139554
SAAM-1929.6.115_2	0.72623694	0.7311939
SAAM-1929.6.140_1	0.8133248	0.053219557
SAAM-1966.112_1	0.85258055	0.71523035
SAAM-1985.66.373_1	0.8252406	0.778185
SAAM-1981.155.3_1	0.28725255	0.3636657
SAAM-1965.12_2-000001	0.88769877	0.6680597
SAAM-1962.13.29_1	0.17799902	0.4902488
SAAM-1930.12.57_1	0.82073975	0.68450606
SAAM-1975.43_1	0.26442063	0.6124209
SAAM-1983.95.185_1	0.66177917	0.36603367
SAAM-1985.66.580_1	0.7140832	0.19046628
SAAM-1973.69.1_1	0.7199099	0.5105208
SAAM-1950.2.13_1	0.573789	0.46389425
SAAM-1974.28.106_1	0.3542974	0.43932402
SAAM-1961.8.1_1	0.72549987	0.51993334
SAAM-1982.112_2	0.63725424	0.42952096
SAAM-1958.5.2_1	0.8784646	0.6446744
SAAM-1966.5_2	0.5211601	0.18423927
SAAM-1929.6.97_1	0.32315516	0.14472258
SAAM-1983.95.195_1	0.9888543	0.53034675
SAAM-1970.183_1	0.50909066	0.87579095
SAAM-1987.67_1	0.49968827	0.84115493
SAAM-1968.19.4_1	0.00882262	0.5170747
SAAM-1985.66.339_1	0.6979183	0.5989305
SAAM-1936.12.3_1	0.606593	0.44153345
SAAM-1962.13.33_1	0.15247321	0.75302136
SAAM-1962.4.8_1	0.9440135	0.4384519
SAAM-1930.12.66_1	0.7332946	0.4699043
SAAM-1991.56.85_1	0.48311758	0.6787032
SAAM-1985.88_1	0.73947227	0.57032263
SAAM-1962.4.16_1	0.7403345	0.5081643
SAAM-1974.28.77_1-000001	0.6643591	0.3854121
SAAM-1952.13.106_1	0.17031443	0.60937774
SAAM-1952.13.151_1	0.14937806	0.48173296
SAAM-1950.2.5_1	0.46484458	0.21803081
SAAM-1994.56_1	0.97856224	0.5267111
SAAM-1950.2.22B_1	0.40554965	0.8955895
SAAM-1925.1.1_1	0.84198475	0.5878037
SAAM-1916.6.41_1	0.14355445	0.45616996
SAAM-1983.95.145_1	0.6968801	0.17700231
SAAM-1983.83.187_1	0.64680576	0.70011294
SAAM-1985.66.386502_1	0.26231897	0.13390923
SAAM-1929.6.116A-B_1	0.51355135	0.4806813
SAAM-1929.6.134_1	0.6899332	0.2788087
SAAM-1983.83.279_1	0.5119649	0.7726406
SAAM-1962.13.8_1	0.14014244	0.7342073
SAAM-1983.95.72_2	0.68953764	0.21062386
SAAM-1950.2.24A_1	0.41090333	0.8923825
SAAM-1985.66.596-U_1	0.7265675	0.8888947
SAAM-1977.1.2_1	0.51762044	0.19037521
SAAM-1962.13.39_1	0.1675328	0.7414955
SAAM-1929.6.69_1	0.35954583	0.14669847
SAAM-1909.11.2_1	0.68315125	0.0
SAAM-1985.66.328265_1	0.73110795	0.3295008
SAAM-1950.2.15_1	0.8206067	0.557794
SAAM-1962.13.57_1	0.18421602	0.42306554
SAAM-1962.13.61_1	0.15090287	0.7479044
SAAM-1977.52_1	0.91697586	0.59231365
SAAM-1910.9.11_1	0.92037225	0.5504359
SAAM-1916.6.40_1	0.25765586	0.2563566
SAAM-1962.13.59_1	0.15361285	0.78637445
SAAM-1929.6.59_1	0.88970447	0.6057805
SAAM-1918.5.19_1	0.6834971	0.15064573
SAAM-1962.4.7_1	0.74468124	0.28860414
SAAM-1966.83_1	0.48160183	0.8292357
