id	unitCode	title	media_count	media_id	topics	object_type	medium	artist	date
edanmdm-saam_1971.439.94	SAAM	Calavera for the Policeman	1.0	SAAM-1971.439.94_1	Occupations|Service|Policeman|Skeleton	Graphic Arts-Print	woodcut	José Guadalupe Posada, Mexican, Aguascalientes, Mexico 1852-died Mexico City, Mexico 1913	
edanmdm-saam_1915.5.1	SAAM	The Falling Gladiator	1.0	SAAM-1915.5.1_1	Sport|Occupations|Nudity|State of being|Figure male|Death|History|Athletes	Sculpture	plaster	William Rimmer, born Liverpool, England 1816-died South Milford, MA 1879	1861
edanmdm-saam_1983.90.173	SAAM	The Sortie Made by the Garrison of Gibraltar in the Morning of the 27 of November 1781			History	Graphic Arts-Print	engraving	William Sharp, English, born London, England 1749-died London, England 1824	1799
edanmdm-saam_1985.66.295_540	SAAM	Ta-do-udo-sa (Prairie Chicken)	1.0	SAAM-1985.66.295540_1	Ethnicity|Men|Portraits	Painting	oil on canvas	Antonion Zeno Shindler, 1813 Bulgaria-died Washington, DC 1899	ca. 1887
edanmdm-saam_1930.12.47	SAAM	Figure Study for Decorative Panel	1.0	SAAM-1930.12.47_1	Landscapes|Figure female|Nudity	Drawing	pencil and watercolor on paper mounted on paperboard	Walter Shirlaw, born Paisley, Scotland 1838-died Madrid, Spain 1909	n.d.
edanmdm-saam_1970.285	SAAM	John Cockey, III	1.0	SAAM-1970.285_1	Men|Portraits	Painting	oil on canvas	Philip Tilyard, born Baltimore, MD 1785-died Baltimore, MD 1830	ca. 1822-1827
edanmdm-saam_1929.6.144	SAAM	The Brook, Greenwich, Connecticut	1.0	SAAM-1929.6.144_1	Landscapes|Rivers|Greenwich	Painting	oil on canvas	John Henry Twachtman, born Cincinnati, OH 1853-died Gloucester, MA 1902	ca. 1890-1900
edanmdm-saam_1950.4.21	SAAM	English Gentleman	1.0	SAAM-1950.4.21_1	Ethnicity|Men|Portraits	Painting-Miniature	watercolor on ivory	Unidentified (British)	ca. 1810
edanmdm-saam_1981.172.11	SAAM	Lady	1.0	SAAM-1981.172.11_1	Women|Portraits	Silhouette	hollow cut paper on fabric	Unidentified	n.d.
edanmdm-saam_1978.108.52	SAAM	(Illustration for Rubáiyát of Omar Khayyám) The Sorry Scheme	1.0	SAAM-1978.108.52_2	Animals|Literature|Older people|Khayyam, Omar|Religion|Birds|Figure male|Rubaiyat|Angels	Drawing	chalk, pencil, ink and watercolor on paper	Elihu Vedder, born New York City 1836-died Rome, Italy 1923	1883-1884
edanmdm-saam_1970.355.484	SAAM	Highbush Blackberry (Rubus argutus)	1.0	SAAM-1970.355.484_2	Rubus argutus|Highbush blackberry|Botanical study	Painting	watercolor on paper	Mary Vaux Walcott, born Philadelphia, PA 1860-died St. Andrews, New Brunswick, Canada 1940	1919
edanmdm-saam_1970.355.354	SAAM	White Troutlily (Erythronium albidum)	1.0	SAAM-1970.355.354_2	White troutlily|Botanical study|Erythronium albidum	Painting	watercolor on paper	Mary Vaux Walcott, born Philadelphia, PA 1860-died St. Andrews, New Brunswick, Canada 1940	1919
edanmdm-saam_1973.130.104	SAAM	Portrait of Mrs. C--	1.0	SAAM-1973.130.104_1	Women|Portraits	Graphic Arts-Print	wood engraving on paper	Henry Wolf, born Eckwersheim, Alsace 1852-died New York City 1916	1894
edanmdm-saam_1973.130.78	SAAM	In Her First Youth	1.0	SAAM-1973.130.78_1	Figure female	Graphic Arts-Print	wood engraving on paper	Henry Wolf, born Eckwersheim, Alsace 1852-died New York City 1916	1892
edanmdm-saam_1929.8.171.1	SAAM	Necklace				Decorative Arts-Jewelry	glass, lapis lazuli, and gold	Unidentified	
edanmdm-saam_1929.8.256	SAAM	Glass Figure of a Standing Bodhisattva				Decorative Arts-Glass	glass	Unidentified	n.d.
edanmdm-saam_1929.8.175.19	SAAM	Necklace				Decorative Arts-Jewelry	faience and glass	Unidentified	100 B.C.-100 A.D.
edanmdm-saam_1935.8.40	SAAM	Fan	1.0	SAAM-1935.8.40_1	Amusements|Animals|Donkey|Recreation|Dogs|Figure group|Conversation	Decorative Arts	paper; ivory	Unidentified (Dutch)	1740-1750
edanmdm-saam_1956.6.66B	SAAM	Fan	1.0	SAAM-1956.6.66B_1	Amusements|Animals|Recreation|Figure group|Sheep|Conversation|Male and female	Decorative Arts	paper; ivory; mother of pearl	Unidentified (French)	
edanmdm-saam_1929.8.245.32	SAAM	Scent Bottle	1.0	SAAM-1929.8.245.32_1		Decorative Arts	enamel and gilded metal	Unidentified	1750-1800
edanmdm-saam_1991.56.271	SAAM	Nanfio	1.0	SAAM-1991.56.271_1	Mountains|Landscapes	Drawing	pencil on paper	Miner Kilbourne Kellogg, born Manlius Square, NY 1814-died Toledo, OH 1889	1843
edanmdm-saam_1998.160.3	SAAM	"Untitled from ""Atlantic and Great Western Railway"" Plate 43"			Bridges|Atlantic and Great Western Railroad|Railroad yard|Industrialization|Architecture	Photography-Photoprint	albumen silver print	J. F. Ryder, born Ithaca, NY 1826-died Cleveland, OH 1904	1860
edanmdm-saam_1996.63.144	SAAM	A Boston Watering-Cart, from Ballou's Pictorial Drawing-Room Companion, September 12, 1857	1.0	SAAM-1996.63.144_1	Commercial|Architecture|Occupations|Street sweeper|Figure group|Service|Store|Cityscapes|Vehicles|Carriage	Graphic Arts-Print	wood engraving on paper	Winslow Homer, born Boston, MA 1836-died Prout's Neck, ME 1910	1857
edanmdm-saam_2000.47.13	SAAM	Gentleman in Brown Velvet with Patterned Waistcoat	1.0	SAAM-2000.47.13_1	Figure male	Photography-Photoprint	salted paper print with applied color	Unidentified	ca. 1848
edanmdm-saam_1918.5.64	SAAM	Jar				Decorative Arts	glass and enamel	Unidentified	n.d.
edanmdm-saam_1983.83.171	SAAM	Rhine at the Lurlei	1.0	SAAM-1983.83.171_1	Lurlei|Landscapes|Art|Rhine River|Rivers	Drawing	pencil on paper	George Elbert Burr, born Monroe Falls, OH 1859-died Phoenix, AZ 1939	1900
edanmdm-saam_1983.83.55	SAAM	Untitled (transfer drawing for Storm near Timberline)	1.0	SAAM-1983.83.55_1	Trees|Western|Weather|Landscapes|Storms|Rocks	Drawing	pencil on paper	George Elbert Burr, born Monroe Falls, OH 1859-died Phoenix, AZ 1939	ca. 1922
