id	unitCode	title	media_count	media_id	object_type	medium	artist	date	topics
edanmdm-saam_1929.6.144	SAAM	The Brook, Greenwich, Connecticut	1.0	SAAM-1929.6.144_1	Painting	oil on canvas	John Henry Twachtman, born Cincinnati, OH 1853-died Gloucester, MA 1902	ca. 1890-1900	Landscapes|Rivers|Greenwich
edanmdm-saam_1967.136.6	SAAM	Mountains in Colorado	1.0	SAAM-1967.136.6_1	Painting	oil on paper mounted on paperboard	John Frederick Kensett, born Cheshire, CT 1816-died New York City 1872	1870	Mountains|Western|Landscapes|Rocks
edanmdm-saam_1984.50	SAAM	The Departure of the Crusaders	1.0	SAAM-1984.50_2	Painting	oil on canvas	Victor Nehlig, born Paris, France 1830-died New York City 1909	1863	Bishop|Crusades|Architecture|Procession|Occupations|Religion|Castles|History|Parade|Mountains|Rites and ceremonies|Landscapes|Animals|Horses
edanmdm-saam_1958.5.3	SAAM	Above Tower Falls, Yellowstone	1.0	SAAM-1958.5.3_1	Painting	watercolor and gouache on paper	Thomas Moran, born Bolton, England 1837-died Santa Barbara, CA 1926	1872	Yellowstone National Park|Landscapes|Tower Falls|Waterfalls|Rocks|Tower Creek|Rivers|Parks
edanmdm-saam_1983.95.91	SAAM	Untitled (landscape with trees and two cows in meadow)	1.0	SAAM-1983.95.91_1	Painting	oil on canvas	Edward Mitchell Bannister, born St. Andrews, New Brunswick, Canada 1828-died Providence, RI 1901	1895	Trees|Weather|Landscapes|Animals|Cattle|Cloud|Plains
edanmdm-saam_1973.150	SAAM	The Yacht America	1.0	SAAM-1973.150_1	Painting	oil on canvas	Charles S. Raleigh, born Gloucester, England 1830-died Bourne, MA 1925	1877	Boats and boating|Architecture|Yacht|Waterscapes|Sea
edanmdm-saam_1985.66.385	SAAM	Nishnabottana Bluffs, 1070 Miles above St. Louis	1.0	SAAM-1985.66.385_1	Painting	oil on canvas	George Catlin, born Wilkes-Barre, PA 1796-died Jersey City, NJ 1872	1832	Western|Mountains|Landscapes|Nishnabottana Bluffs
edanmdm-saam_1909.7.51	SAAM	Indian Summer	1.0	SAAM-1909.7.51_1	Painting	oil on canvas	J. Francis Murphy, born Oswego, NY 1853-died New York City 1921	1903	Landscapes|Autumn|Architecture|Domestic|Plains|Seasons|Dwellings
edanmdm-saam_1974.69.14	SAAM	In the Gardens of the Villa Palmieri	1.0	SAAM-1974.69.14_1	Painting	oil on wood	Carroll Beckwith, born Hannibal, MO 1852-died New York City 1917	1910	Landscapes|Architecture|Castles|Parks|Gardens of Villa Palmieri
edanmdm-saam_1978.68	SAAM	Autumn Sunshine	1.0	SAAM-1978.68_1	Painting	oil on canvas	George Cochran Lambdin, born Pittsburgh, PA 1830-died Philadelphia, PA 1896	1880	Weather|Landscapes|Animals|Insects|Autumn|Chrysanthemum|Seasons|Plants|Butterflies
